PairID,Algorithm,X,Y,Z
2,RRT,0.704475,0.570978,0.81852
2,RRT,0.691247,0.568593,0.812333
2,RRT,0.678042,0.565892,0.80606
2,RRT,0.664871,0.562873,0.799701
2,RRT,0.651742,0.559536,0.793255
2,RRT,0.638664,0.555882,0.786722
2,RRT,0.625648,0.551912,0.780101
2,RRT,0.612701,0.547625,0.773394
2,RRT,0.599834,0.543023,0.766599
2,RRT,0.587057,0.538108,0.759716
2,RRT,0.574377,0.53288,0.752746
2,RRT,0.561806,0.527343,0.745688
2,RRT,0.549352,0.521497,0.738543
2,RRT,0.537024,0.515345,0.731311
2,RRT,0.524833,0.50889,0.723993
2,RRT,0.512787,0.502136,0.716588
2,RRT,0.500896,0.495085,0.709096
2,RRT,0.489169,0.48774,0.70152
2,RRT,0.477615,0.480107,0.693859
2,RRT,0.466244,0.472188,0.686113
2,RRT,0.455063,0.463988,0.678284
2,RRT,0.444083,0.455513,0.670372
2,RRT,0.433312,0.446767,0.662378
2,RRT,0.422758,0.437755,0.654304
2,RRT,0.412431,0.428483,0.646149
2,RRT,0.402338,0.418957,0.637916
2,RRT,0.392488,0.409183,0.629605
2,RRT,0.382889,0.399168,0.621218
2,RRT,0.373549,0.388918,0.612756
2,RRT,0.364475,0.378439,0.60422
2,RRT,0.355676,0.36774,0.595612
